机构名称,机构编号,机构类型,服务形式,区托育服务管理机构,机构负责人,机构联系电话,举办者,地址,供餐情况,收费情况[元/月]
上海浦东柏星托育有限公司,1152111005700000,营利性托育机构,全日制,浦东新区托育服务指导中心,李静,58567772,卢云婷，石书情，王春海，杨志森,上海市浦东新区三林镇御桥路306弄10-11号1层、21-22号2层,自行加工膳食,5380.0
上海浦东班比尼托育有限公司,1152100002600000,营利性托育机构,全日制,浦东新区托育服务指导中心,高馨,58960079,张志辉,上海市浦东新区唐镇上海市浦东新区唐安路844、846号,不自行加工膳食，但提供供餐服务,7000.0
上海浦东贝贝熊托育有限公司,1152111005000000,营利性托育机构,全日制,浦东新区托育服务指导中心,房?,021-33893396,上海浦东贝贝熊托育有限公司,上海市浦东新区惠南镇听潮南路85.87.89号二层，91.93.95号1-2层,自行加工膳食,5000.0
上海浦东蹦蹦跳托育有限公司,1152111003600000,营利性托育机构,全日制,浦东新区托育服务指导中心,陆庆,021-50110556,施渫非,上海市浦东新区金杨新村街道张杨路3536-3556号,不自行加工膳食，但提供供餐服务,16800.0
上海浦东晨稚托育有限公司,1152100005400000,营利性托育机构,全日制,浦东新区托育服务指导中心,纪英,021-50420987,上海浦东晨稚科技有限公司,上海市浦东新区浦兴路街道杨高中路18弄16-18号1-2层,自行加工膳食,9600.0
上海浦东纯美托育有限公司,1152111003000000,营利性托育机构,全日制,浦东新区托育服务指导中心,金静贤,13472892227,骞婵,上海市浦东新区南汇新城镇方竹路166弄111号1-3层,不自行加工膳食，但提供供餐服务,5500.0
上海浦东德寅托育有限公司,1152111001400000,营利性托育机构,全日制,浦东新区托育服务指导中心,童莉敏,021-51872889,上海学寅教育科技有限公司,上海市浦东新区花木街道花木路1833弄230-231号,不自行加工膳食，但提供供餐服务,15800.0
上海浦东德缘托育有限公司,1152100003500000,营利性托育机构,全日制,浦东新区托育服务指导中心,闫晓燕,021-50429615,上海浦东晨稚科技有限公司、徐燕峰、冯永军,上海市浦东新区唐镇顾唐路2900弄6号,自行加工膳食,9600.0
上海浦东豆初托育有限公司,1152111005500000,营利性托育机构,全日制,浦东新区托育服务指导中心,何琇琳,50777539,周俊，杨智颖,上海市浦东新区花木街道上海市浦东新区杜鹃路2号1-2层，杜鹃路6号一层，浦建路1539号一层,自行加工膳食,6800.0
上海浦东恩吉拉托育有限公司,1152111005100000,营利性托育机构,全日制,浦东新区托育服务指导中心,杨玉玲,68902789,单俊丽,上海市浦东新区花木街道白杨路342-346双号1层101室、102室、2层,不自行加工膳食，但提供供餐服务,10800.0
上海浦东帆航托育有限公司,1152100002400000,营利性托育机构,全日制,浦东新区托育服务指导中心,张娜,13262505817,徐李李,上海市浦东新区三林镇懿行路603弄1号113-119室,不自行加工膳食，但提供供餐服务,3000.0
上海浦东果冻托育有限公司,1152111002500000,营利性托育机构,全日制,浦东新区托育服务指导中心,傅红,15001877401,钱峰、孙毅,"上海市浦东新区周家渡街道云台路529弄11号1-201、1-202,12号1-201、1-202、1-203,13号1-203",不自行加工膳食，但提供供餐服务,6000.0
上海浦东禾苗托育有限公司,1152111002200000,营利性托育机构,全日制,浦东新区托育服务指导中心,朱丽娜,021-58305213,王春艳,上海市浦东新区洋泾街道浦东大道1485号1-2层,不自行加工膳食，但提供供餐服务,12800.0
上海浦东红果果托育有限公司,1152100005800000,营利性托育机构,全日制,浦东新区托育服务指导中心,张红,58086399,张剑；王建亚,上海市浦东新区康桥镇秀沿路1170号2幢一层3室4室5室6室，二层6室7室8室9室,自行加工膳食,8800.0
上海浦东虹越托育有限公司,1152110004700000,营利性托育机构,全日制,浦东新区托育服务指导中心,倪晓燕,13601939668,上海虹越企业管理有限公司,上海市浦东新区三林镇上海市浦东新区长清路507、517号1幢一层163、165、166、173、174,自行加工膳食,8000.0
上海浦东胡姬港湾东郊托育有限公司,1152100003700000,营利性托育机构,全日制,浦东新区托育服务指导中心,姚亚静,61023039,上海浦东胡姬港湾信息科技有限公司,上海市浦东新区金桥镇紫竹路383弄38号全幢,不自行加工膳食，但提供供餐服务,14300.0
上海浦东吉梦儿托育有限公司,1152111003400000,营利性托育机构,全日制,浦东新区托育服务指导中心,李伟雯,021-58220889,汪毅君,上海市浦东新区航头镇沪南路5469弄127号1层、139—140号2层,自行加工膳食,5000.0
上海浦东杰立筱托育有限责任公司,1152111004000000,营利性托育机构,全日制,浦东新区托育服务指导中心,张娟,13761406607,陈晓娟；尹志,上海市浦东新区高桥镇夏碧路501弄4号1层，2号5号204-206室,自行加工膳食,9800.0
上海浦东卡萨托育有限公司,1152111002000000,营利性托育机构,全日制,浦东新区托育服务指导中心,王建英,021-68779308,上海音凡托得投资管理有限公司,上海市浦东新区北蔡镇成山路2369-2373号单号1-3层,不自行加工膳食，但提供供餐服务,7000.0
上海浦东蓝堡托育有限责任公司,1152100003300000,营利性托育机构,全日制,浦东新区托育服务指导中心,唐凤云,021-61600201,丛耸,上海市浦东新区张江镇盛夏路58弄41、42号,不自行加工膳食，但提供供餐服务,12000.0
上海浦东朗东荁托育有限公司,1152100001500000,营利性托育机构,全日制,浦东新区托育服务指导中心,凌月英,13701874345,戴福美,上海市浦东新区高行镇双桥路978，982号,不自行加工膳食，但提供供餐服务,3000.0
上海浦东劳思托育有限公司,1152100003100000,营利性托育机构,全日制,浦东新区托育服务指导中心,陈玉梅,20980006,黄瑛；尹晓霖,上海市浦东新区泥城镇鸿音路2892，2896号,不自行加工膳食，但提供供餐服务,3000.0
上海浦东露西宝贝托育有限公司,1152110002700000,营利性托育机构,全日制,浦东新区托育服务指导中心,韩莉,61189033,季惠芳、徐雪雯,上海市浦东新区惠南镇迎薰路266号,自行加工膳食,5000.0
上海浦东罗狮托育有限公司,1152111001700000,营利性托育机构,全日制,浦东新区托育服务指导中心,李丽,021-50671075,上海朗熹霖教育科技有限公司,上海市浦东新区中国（上海）自由贸易试验区（保税片区）张杨北路3211-3237号（单）一、二层,自行加工膳食,18000.0
上海浦东茂楷托育有限公司,1152111001100000,营利性托育机构,全日制,浦东新区托育服务指导中心,杨彭,58212296,茂楷（上海）教育科技有限公司,上海市浦东新区洋泾街道灵山路1000弄18号,自行加工膳食,16800.0
上海浦东美贝托育有限公司,1152111002900000,营利性托育机构,全日制,浦东新区托育服务指导中心,齐文,68866636,举办者1戴雪莲；举办者2齐文。,上海市浦东新区川沙新镇川银路45、47、49号1-2层,自行加工膳食,3000.0
上海浦东萌马宝贝托育有限公司,1152111004300000,营利性托育机构,全日制,浦东新区托育服务指导中心,吴丹青,33788288,卫靖华,上海市浦东新区花木街道杜鹃路196号一层D区、二层,不自行加工膳食，但提供供餐服务,5000.0
上海浦东萌手托育有限公司,1152111000800000,营利性托育机构,全日制,浦东新区托育服务指导中心,王伟萍,02150816818,刘元浦,上海市浦东新区三林镇东明路1778号1-3层,不自行加工膳食，但提供供餐服务,9800.0
上海浦东蒙宝元托育有限公司,1152111001300000,营利性托育机构,全日制,浦东新区托育服务指导中心,彭根娣,50917675,殷花,上海市浦东新区北蔡镇锦绣路3218弄一层A01,不自行加工膳食，但提供供餐服务,10899.0
上海浦东妮可贝拉托育有限公司,1152111003200000,营利性托育机构,全日制,浦东新区托育服务指导中心,张伟,13651768069,张伟；鲍远宝,上海市浦东新区金桥镇金高路1296弄151号107-112室,自行加工膳食,7000.0
上海浦东启禾托育有限公司,1152100003800000,营利性托育机构,全日制,浦东新区托育服务指导中心,傅靓,68815198,上海启禾管理咨询有限公司,上海市浦东新区中国（上海）自由贸易试验区（保税片区）红枫路399号（A区）一楼二楼,不自行加工膳食，但提供供餐服务,18000.0
上海浦东杞顿托育有限公司,1152111000700000,营利性托育机构,全日制,浦东新区托育服务指导中心,李宏伟,58375780,上海灵童教育科技有限公司,上海市浦东新区张江镇亮秀路112号A座107室,不自行加工膳食，但提供供餐服务,8000.0
上海浦东乔乐伊托育有限公司,1152111000900000,营利性托育机构,全日制,浦东新区托育服务指导中心,周然芳,18930425077,郭良玉,上海市浦东新区周家渡街道上海市浦东新区齐河路296-302（双）号一层A区,不自行加工膳食，但提供供餐服务,7800.0
上海浦东巧泽托育有限公司,1152111002100000,营利性托育机构,全日制,浦东新区托育服务指导中心,朱庆妹,50935301,杜燕,上海市浦东新区唐镇春泉路58弄62，63号,自行加工膳食,3000.0
上海浦东豚哆菲托育有限公司,1152111002800000,营利性托育机构,全日制,浦东新区托育服务指导中心,许铎,31007269,胡俊；许恩,上海市浦东新区北蔡镇上海市锦绣路3218号L1036(S40AB)铺位,不自行加工膳食，但提供供餐服务,7000.0
上海浦东拓星托育有限公司,1152111004200000,营利性托育机构,全日制,浦东新区托育服务指导中心,徐蕾,13761952816,上海拓星教育科技有限公司,上海市浦东新区陆家嘴街道即墨路9_2号,不自行加工膳食，但提供供餐服务,18000.0
上海浦东我来了托育有限公司,1152111001800000,营利性托育机构,全日制,浦东新区托育服务指导中心,董福林,021-50417811,上海娃咋养教育科技有限公司,上海市浦东新区张江镇龙东大道1288号101室,不自行加工膳食，但提供供餐服务,8800.0
上海浦东小浪花托育有限公司,1152100001200000,营利性托育机构,全日制,浦东新区托育服务指导中心,胡健,50906862,傅贇,上海市浦东新区三林镇长清路1200弄37、38、40-50号一层109、110、112商铺,不提供膳食,5800.0
上海浦东新区大飞机金科托育园,1151100000300000,非营利性托育机构,全日制,浦东新区托育服务指导中心,魏红艳,15900700170,上海小龙鱼教育发展有限公司,上海市浦东新区张江高科技园区金科路5188号单身宿舍一层（部分）,自行加工膳食,2500.0
上海浦东新区嘟马奇托育园,1151100005200000,非营利性托育机构,全日制,浦东新区托育服务指导中心,吴楠,021-60459219,吴楠；乔倩；宫婕,上海市浦东新区南汇新城镇方竹路166弄119号,自行加工膳食,3000.0
上海浦东新区嘉贝前滩托育园,1151111006100000,非营利性托育机构,全日制,浦东新区托育服务指导中心,王蓉,13817566714,上海嘉璧教育科技有限公司,上海市浦东新区三林镇东育路195号1层114室、195号2层210室,自行加工膳食,23000.0
上海浦东鑫乐托育有限公司,1152100002300000,营利性托育机构,全日制,浦东新区托育服务指导中心,赵美萍,50813588,朱卿；徐月芳,上海市浦东新区川沙新镇华夏东路2532、2534、2536号1_2层,不自行加工膳食，但提供供餐服务,3000.0
上海浦东星显托育有限责任公司,1152111000500000,营利性托育机构,全日制,浦东新区托育服务指导中心,易庆媛,021-20922199,李文阳,上海市浦东新区惠南镇卫星东路144号1-2层,不自行加工膳食，但提供供餐服务,3500.0
上海浦东星知托育有限公司,1152100000600000,营利性托育机构,全日制,浦东新区托育服务指导中心,夏海萍,02158115133,杨燕萍,上海市浦东新区康桥镇上海市浦东新区沪南路3291，3285号,自行加工膳食,7000.0
上海浦东秀俣托育有限责任公司,1152111004500000,营利性托育机构,全日制,浦东新区托育服务指导中心,邬亚洁,13370032422,吴秀1，王心语2,上海市浦东新区唐镇春泉路58弄57-58号1-3层,不自行加工膳食，但提供供餐服务,3000.0
上海浦东宜欢托育有限公司,1152110005900000,营利性托育机构,全日制,浦东新区托育服务指导中心,陆菊芳,1821714489,雷礼;徐国龙。,上海市浦东新区花木街道中国（上海）自由贸易试验区锦康路15号2层，17、19、23、27、31、33号1层，35号2层,不自行加工膳食，但提供供餐服务,13500.0
上海浦东轶祐托育有限公司,1152111004600000,营利性托育机构,全日制,浦东新区托育服务指导中心,史庆颖,61063980,张慧,上海市浦东新区浦兴路街道上海市浦东新区归昌路180弄1幢11号、12号、14号、15号、16号、17号、18号1层，归昌路180弄1幢6、13、23号2层201室-207室,自行加工膳食,9000.0
上海浦东逸辰托育有限公司,1152100005300000,营利性托育机构,全日制,浦东新区托育服务指导中心,周井兰,13501646485,王芳,上海市浦东新区惠南镇浦东新区惠南镇拱泰路41-47号（单）1-2层,自行加工膳食,3000.0
上海浦东优贝达托育有限公司,1152111000400000,营利性托育机构,全日制,浦东新区托育服务指导中心,马晶,021-68680577,王晓慧，齐秀玲,上海市浦东新区高行镇双桥路1216号104室C座,不自行加工膳食，但提供供餐服务,12800.0
上海浦东昱南托育有限责任公司,1152111004400000,营利性托育机构,全日制,浦东新区托育服务指导中心,杨元芬,50771935,上海浦东新区爱幼教育管理与发展中心,上海市浦东新区金杨新村街道金杨路785弄58号,自行加工膳食,8800.0
上海浦东哲思托育有限公司,1152100001900000,营利性托育机构,全日制,浦东新区托育服务指导中心,王芳,021-58955822,王珺；高韵婕；郑一诺,上海市浦东新区塘桥街道浦明路1258号,不自行加工膳食，但提供供餐服务,13000.0
上海普陀艾莱托育有限公司,1072111000800000,营利性托育机构,全日制,普陀区托育服务指导中心,缪兴兴 ,021-52918968,缪兴兴，李美娟,上海市普陀区长征镇梅岭北路1283号底层-2,自行加工膳食,12800.0
上海普陀贝贝鹰托育有限公司,1072100000500000,营利性托育机构,全日制,普陀区托育服务指导中心,张玲,56550061,张玲，林芝，杨曦，顾维嘉，周慧,上海市普陀区万里街道大华路88弄19号,自行加工膳食,5800.0
上海普陀贝越托育有限公司,1072111000600000,营利性托育机构,全日制,普陀区托育服务指导中心,李晓翠,66066882,吴婷；严晓芳,上海市普陀区万里街道武威东路262号,自行加工膳食,13800.0
上海普陀晨帆托育有限公司,1072100000400000,营利性托育机构,全日制,普陀区托育服务指导中心,秦静芳,61657681,安徽贝乐家教育管理集团有限公司,上海市普陀区长寿路街道澳门路477号7幢101室,自行加工膳食,7800.0
上海普陀风铃草托育有限公司,1072100000700000,营利性托育机构,全日制,普陀区托育服务指导中心,张玮,18221800005,王杰,上海市普陀区万里街道大华路22号一层,自行加工膳食,6800.0
上海普陀好囡托育有限公司,1072111000200000,营利性托育机构,全日制,普陀区托育服务指导中心,沈若玉,15618060527,好姑信息科技（上海）有限公司,上海市普陀区长风新村街道凯旋北路1555弄36号底层商铺,自行加工膳食,12800.0
上海普陀齐思托育有限公司,1072111000100000,营利性托育机构,全日制,普陀区托育服务指导中心,许燕,62565721,杨益文；叶国伟,上海市普陀区长风新村街道光复西路2899弄2号1层01、02、03室,自行加工膳食,12800.0
上海青浦敬德托育有限公司,1182111000200000,营利性托育机构,全日制,青浦区托育服务指导中心,翟晓敏,021-59888558,必吉必吉（上海）企业管理咨询股份有限公司，上海托宝文化传播有限公司,上海市青浦区徐泾镇诸陆西路2265弄233号,自行加工膳食,9800.0
上海青浦区爱贝尔托育园,1181111000400000,非营利性托育机构,全日制,青浦区托育服务指导中心,张生娟,021-69789069,吴忠然   吴生兆,上海市青浦区华新镇青浦区华新镇华志路901号,自行加工膳食,2880.0
上海青浦区迦美托育园,1181111000100000,非营利性托育机构,全日制,青浦区托育服务指导中心,雷恒,39786616,"龙如银,吴庆",上海市青浦区重固镇福泉山路111弄1号112室-118室,自行加工膳食,3000.0
上海青浦区冒芽宝贝托育园,1181111000300000,非营利性托育机构,全日制,青浦区托育服务指导中心,魏婷婷,13681795265,魏婷婷,上海市青浦区华新镇新府中路1536弄35号-36号,不自行加工膳食，但提供供餐服务,3000.0
上海市宝山区宝星托育园,1131100000100000,非营利性托育机构,全日制,宝山区托育服务指导中心,陈影雪,13816377088,上海铿然教育咨询有限公司,上海市宝山区月浦镇宝泉路65号,不自行加工膳食，但提供供餐服务,2200.0
上海市长宁区程家桥晨幼托育园,1051111001300000,非营利性托育机构,全日制,长宁区托育服务指导中心,王洁琼,52181228,上海杨浦爱曦幼托育有限公司,上海市长宁区程家桥街道程家桥路80弄44号,自行加工膳食,3000.0
上海市长宁区乐萌家托育园,1051100000500000,非营利性托育机构,全日制,长宁区托育服务指导中心,时华,62626678,崔昳；孙秀英,上海市长宁区北新泾街道天山路88弄35号,自行加工膳食,3000.0
上海市长宁区童心第二托育园,1051100001800000,非营利性托育机构,全日制,长宁区托育服务指导中心,王琛夏,62060152,殷文君；王和敏,上海市长宁区北新泾街道通协路269号1层商铺136-140 ,自行加工膳食,4800.0
上海市长宁区童心托育园,1051111000100000,非营利性托育机构,全日制,长宁区托育服务指导中心,徐艳,62347369,殷文君 王和敏,上海市长宁区仙霞新村街道仙霞路357号1楼,自行加工膳食,3000.0
上海市黄浦区五里桥社区托育园,1011111000300000,非营利性托育机构,全日制,黄浦区托育服务指导中心,高海燕,15021070748,上海市浦东新区民办爱绿幼儿园,上海市黄浦区五里桥街道蒙自路778弄3号楼1楼,不自行加工膳食，但提供供餐服务,3000.0
上海市嘉定区爱霖托育园,1141110000800000,非营利性托育机构,全日制,嘉定区托育服务指导中心,阚惠萍,021-39556731,陈宇；汪燕凌。,上海市嘉定区南翔镇德园南路111弄41-42号,自行加工膳食,3000.0
上海市嘉定区城市安泊托育园,1141110000600000,非营利性托育机构,全日制,嘉定区托育服务指导中心,王兴梅,18502134343,岳俊;吴杰,上海市嘉定区江桥镇吴杨东路333弄258号,自行加工膳食,3000.0
上海市嘉定区靓宝托育园,1141100001000000,非营利性托育机构,全日制,嘉定区托育服务指导中心,孙玲,13262636555,史磊,上海市嘉定区马陆镇上海市嘉定区马陆镇澄浏中路唐家苑中区2278号,自行加工膳食,3000.0
上海市嘉定区实蒙托育园,1141100000100000,非营利性托育机构,全日制,嘉定区托育服务指导中心,蔡琳,61160577,李茜南,上海市嘉定区马陆镇洪德路908号258室,自行加工膳食,6500.0
上海市嘉定区童达托育园,1141111000300000,非营利性托育机构,全日制,嘉定区托育服务指导中心,唐音,021-69890566,李东向,上海市嘉定区南翔镇宝翔路499弄18、21号,自行加工膳食,6500.0
上海市嘉定区银翔托育园,1141111001200000,非营利性托育机构,全日制,嘉定区托育服务指导中心,曹霄霄,69900013,丁仁亮,上海市嘉定区南翔镇沪宜公路509-515号,自行加工膳食,3000.0
上海市嘉定区优立托育园,1141111001100000,非营利性托育机构,全日制,嘉定区托育服务指导中心,何春羚,15921103329,上海硕尔文化传媒有限公司,上海市嘉定区马陆镇麦积路508弄11号,自行加工膳食,3000.0
上海市浦东新区霭葳托育有限公司,1152100000200000,营利性托育机构,全日制,浦东新区托育服务指导中心,刘娟,021-50771762,上海霭葳教育科技有限公司,上海市浦东新区花木街道杨高南路889号3幢一层,不自行加工膳食，但提供供餐服务,13600.0
上海市浦东新区华翘托育园,1151110000100000,非营利性托育机构,全日制,浦东新区托育服务指导中心,周红,021-68620617,"杨文艳,赵文杰",上海市浦东新区塘桥街道环龙路65弄62号,不自行加工膳食，但提供供餐服务,7000.0
上海市浦东新区章鱼堡托育园,1151111004900000,非营利性托育机构,全日制,浦东新区托育服务指导中心,梁敏,13564583977,徐东；李金俏,上海市浦东新区泥城镇浦东新区泥城镇鸿音路3388弄1幢3号103-2，1幢3号104，1幢3号105,不自行加工膳食，但提供供餐服务,3000.0
上海市松江区九亭镇迪笙托育园,1171100000100000,非营利性托育机构,全日制,松江区托育服务指导中心,杨艳,13585542818,陈宇峰；张逸舟；钟毅,上海市松江区九亭镇伴亭路488号,不自行加工膳食，但提供供餐服务,3000.0
上海松江区爱乐祺托育园,1171111001100000,非营利性托育机构,全日制,松江区托育服务指导中心,陆安琪,18916146911,李沐阳,上海市松江区九亭镇沪亭路88弄24号,自行加工膳食,5000.0
上海松江区贝思优托育园,1171111000500000,非营利性托育机构,全日制,松江区托育服务指导中心,顾榕洁,13651943119,章苗苗,上海市松江区中山街道广富林路699弄14号、16-19号、32-33号,自行加工膳食,5500.0
上海松江区德贝贝托育园,1171111000600000,非营利性托育机构,全日制,松江区托育服务指导中心,屠芳,33559299,屠芳;李富荣,上海市松江区方松街道文诚路500弄5号106-109,自行加工膳食,6000.0
上海松江区福贝佳托育园,1171111000700000,非营利性托育机构,全日制,松江区托育服务指导中心,韩磊,15000028756,董晋；项留仙,上海市松江区中山街道光星路1856号1-2层，1858号1层，1866号1层,不自行加工膳食，但提供供餐服务,5800.0
上海松江区品健托育园,1171111000800000,非营利性托育机构,全日制,松江区托育服务指导中心,游翠,021-57708335,黄军；赵康宁；陶慧君,上海市松江区永丰街道仓丰路242号244号236号二层部分,自行加工膳食,3000.0
上海松江区三湘四季托育园,1171100000200000,非营利性托育机构,全日制,松江区托育服务指导中心,陶辉,67790056,陶辉；洪志荣,上海市松江区广富林街道松江区梅家浜路1500弄38号,不自行加工膳食，但提供供餐服务,2200.0
上海松江区松果托育园,1171111001000000,非营利性托育机构,全日制,松江区托育服务指导中心,崔璐,18018582664,顾琳嫣；蒋辉；孙剑澜；胡伟锋。,上海市松江区永丰街道仓华路502号一层，500号2-3层,不自行加工膳食，但提供供餐服务,3500.0
上海松江区松实托育园,1171111000900000,非营利性托育机构,全日制,松江区托育服务指导中心,胡娟,18018582664,孙剑澜；陶新建,上海市松江区车墩镇车峰路450弄432号,自行加工膳食,3500.0
上海松江区晓蕾语花园托育园,1171111000300000,非营利性托育机构,全日制,松江区托育服务指导中心,钱丽莉,18602108202,"吴晓蕾,刘剑",上海市松江区新桥镇莘砖公路258号34幢101室,不自行加工膳食，但提供供餐服务,3000.0
上海松江童德托育有限公司,1172100000400000,营利性托育机构,全日制,松江区托育服务指导中心,朱倩倩,37030355,孙涛,上海市松江区中山街道茸梅路600弄2幢4号一层101、103、105-113、115-119、128,自行加工膳食,17000.0
上海星之婕托育有限公司,1042100000600000,营利性托育机构,全日制,徐汇区托育服务指导中心,赵馨华,64387603,上海星之婕教育培训有限公司  上海皓喆文化传播有限公司,上海市徐汇区湖南路街道兴国路91号甲1幢1-3层、2幢1层,不自行加工膳食，但提供供餐服务,10000.0
上海徐汇爱荷托育有限公司,1042111001700000,营利性托育机构,全日制,徐汇区托育服务指导中心,周惠萍,15221901190,孔楠；孙轶泽,上海市徐汇区康健新村街道桂平路188号一层111、112、113、117、118、119室,不自行加工膳食，但提供供餐服务,7800.0
上海徐汇爱睿格林托育有限公司,1042110000500000,营利性托育机构,全日制,徐汇区托育服务指导中心,孙小春,54034102,上海滋誉实业投资有限公司；张文明；徐海蓉,上海市徐汇区枫林路街道东安五村14号一层、二层（全幢）,不自行加工膳食，但提供供餐服务,9800.0
上海徐汇好爱托育有限公司,1042111002100000,营利性托育机构,全日制,徐汇区托育服务指导中心,袁玲玲,13052037683,益芽（上海）教育科技有限公司,上海市徐汇区龙华街道上海市徐汇区龙水南路336弄32号101-102室,不自行加工膳食，但提供供餐服务,7800.0
上海徐汇胡姬港湾托育有限公司,1042100001900000,营利性托育机构,全日制,徐汇区托育服务指导中心,王妇美,18221118867,上海徐汇胡姬港湾科技发展有限公司,上海市徐汇区漕河泾街道上海市徐汇区南宁路980号1层02、03单元,不自行加工膳食，但提供供餐服务,13500.0
上海徐汇介元晶托育有限公司,1042100001500000,营利性托育机构,全日制,徐汇区托育服务指导中心,杨剑华,54106150,上海小蜜峰企业管理咨询有限公司,上海市徐汇区虹梅路街道上海市徐汇区虹漕路68号1楼E室,不自行加工膳食，但提供供餐服务,7800.0
上海徐汇可音可缪可托育有限公司,1042111001800000,营利性托育机构,全日制,徐汇区托育服务指导中心,张韵,021-62199900,上海缪可文化传播有限公司，傅焕根,上海市徐汇区虹梅路街道桂林路402号76幢1层110-1室,自行加工膳食,4900.0
上海徐汇绿优托育有限公司,1042100000200000,营利性托育机构,全日制,徐汇区托育服务指导中心,吴晓,33635198,绿学产业投资有限公司,上海市徐汇区斜土路街道龙华中路759号 1层 WA-106b,不自行加工膳食，但提供供餐服务,9800.0
上海徐汇萌馨园托育有限公司,1042111001300000,营利性托育机构,全日制,徐汇区托育服务指导中心,周敏,02133630333,戴立明,上海市徐汇区田林街道田林东路75号汇阳广场一楼118-119室,不自行加工膳食，但提供供餐服务,8000.0
上海徐汇梦嫒托育有限公司,1042100000800000,营利性托育机构,全日制,徐汇区托育服务指导中心,黄万茹,021-33567893,上海嫒葳教育科技有限公司,上海市徐汇区天平路街道建国西路290号1、2层01室,自行加工膳食,18000.0
上海徐汇米迪雅托育有限公司,1042100000300000,营利性托育机构,全日制,徐汇区托育服务指导中心,王佩玲,54362231,上海迪学企业管理有限公司,上海市徐汇区康健新村街道柳州路138号104、105室,不自行加工膳食，但提供供餐服务,15000.0
上海徐汇区常青藤虹梅托育园,1041100000900000,非营利性托育机构,全日制,徐汇区托育服务指导中心,徐海蓉,64171175,上海滋誉实业投资有限公司,上海市徐汇区虹梅路街道全州路65到67号,不自行加工膳食，但提供供餐服务,3000.0
上海徐汇区大飞机云锦托育园,1041100001000000,非营利性托育机构,全日制,徐汇区托育服务指导中心,许静伊,021-20867026,上海小龙鱼教育发展有限公司,上海市徐汇区龙华街道云锦路5号办公楼一楼（部分）,不自行加工膳食，但提供供餐服务,2800.0
上海徐汇区儿童家园托育园,1041100000400000,非营利性托育机构,全日制,徐汇区托育服务指导中心,马嫣婷,64060657,上海一铭教育信息咨询有限公司,上海市徐汇区凌云路街道老沪闵路779号,自行加工膳食,3000.0
上海徐汇区领幼托育指导中心托育园,1041001000100000,非营利性托育机构,全日制,徐汇区托育服务指导中心,李黎,021-54970115,上海领幼企业管理咨询有限公司,上海市徐汇区枫林路街道中山南二路1089号徐汇苑大厦103室,不自行加工膳食，但提供供餐服务,8600.0
上海徐汇区龙南托育园,1041111002000000,非营利性托育机构,全日制,徐汇区托育服务指导中心,李春芳,13916490865,好姑信息科技（上海）有限公司；上海炫徒教育科技有限公司,上海市徐汇区龙华街道上海市徐汇区龙水南路320号,不自行加工膳食，但提供供餐服务,3000.0
上海徐汇区新徐汇昂立托育园,1041111001400000,非营利性托育机构,全日制,徐汇区托育服务指导中心,杨思琴,64197395,上海新徐汇教育管理有限公司；上海新南洋曦桃教育科技有限公司,上海市徐汇区凌云路街道梅陇五村39号,不自行加工膳食，但提供供餐服务,3000.0
上海徐汇区新徐汇华泾托育园,1041100001200000,非营利性托育机构,全日制,徐汇区托育服务指导中心,王克兰,(021) 5437 5820,上海新徐汇教育管理有限公司,上海市徐汇区华泾镇华泾路507号4号楼1楼,不自行加工膳食，但提供供餐服务,3000.0
上海徐汇小宁托育有限公司,1042111001100000,营利性托育机构,全日制,徐汇区托育服务指导中心,吴佩雯,64160446,胡芸；凌妮娜,上海市徐汇区虹梅路街道虹漕路68号1D单元,自行加工膳食,5400.0
上海徐汇悦优得托育有限公司 ,1042100001600000,营利性托育机构,全日制,徐汇区托育服务指导中心,张敏薇,13801852059,上海悦优得文化发展有限公司,上海市徐汇区漕河泾街道上海市徐汇区南宁路728、732、734、736、738、740、742号1-2层、730号1层,自行加工膳食,12000.0
上海杨浦爱曦幼托育有限公司,1102111000200000,营利性托育机构,全日制,杨浦区托育服务指导中心,张颖,65050660,上海堃苗教育科技有限公司,上海市杨浦区五角场镇政府路18号,不自行加工膳食，但提供供餐服务,4800.0
上海杨浦爱曦幼托育有限公司金山分公司,1162111000500000,营利性托育机构,全日制,金山区托育服务指导中心,刘冉冉,021-60892514,章苗苗,上海市金山区山阳镇海汇街588弄70号一层、72号一层,自行加工膳食,4000.0
上海杨浦博蝶托育有限公司,1102100000600000,营利性托育机构,全日制,杨浦区托育服务指导中心,王海鸥,65152338,周方华；王海鸥；吴嘉臻；励华,上海市杨浦区江浦路街道飞虹路568弄，创邑海上海广场42-1号,不自行加工膳食，但提供供餐服务,5300.0
上海杨浦好新托育有限公司,1102111001300000,营利性托育机构,全日制,杨浦区托育服务指导中心,李春芳,13003153236,上海好才企业管理服务有限公司,上海市杨浦区江浦路街道周家嘴路1301-1305号102室,自行加工膳食,7800.0
上海杨浦恒仁万托育有限公司,1102100000900000,营利性托育机构,全日制,杨浦区托育服务指导中心,曹艳雪,02155808592,上海杨浦恒仁万托育有限公司,上海市杨浦区五角场街道国科路80号18-22室,自行加工膳食,7000.0
上海杨浦锦晨托育有限公司,1102100000300000,营利性托育机构,全日制,杨浦区托育服务指导中心,张丽娜,13701701407,上海杨浦锦晨托育有限公司,上海市杨浦区新江湾城街道江湾城路99号8幢101、201C室,不自行加工膳食，但提供供餐服务,8000.0
